屋号・商号,屋号・商号フリガナ,業種（大分類）,業種（中分類）,主な取扱品目,地域,郵便番号,住所,電話番号,さるぼぼコイン
Desserts & Chocolate Pino,ﾃﾞｻﾞｰﾄｱﾝﾄﾞﾁｮｺﾚｰﾄﾋﾟﾉ,飲食業,その他飲食店,洋菓子,高山,506-0008,初田町2-67-21,050-1725-0701,利用不可
テック昭和,ﾃｯｸｼｮｳﾜ,小売業,家電,家庭用電化製品,高山,506-0053,昭和町3-88-2,35-0435,利用可能
てって　マッサージ＆フィットネス,ﾃｯﾃﾏｯｻｰｼﾞｱﾝﾄﾞﾌｨｯﾄﾈｽ,理美容・エステ業（マッサージ業）,マッサージ,マッサージ・フィットネス,高山,506-0009,花岡町3-56-4,62-9738,利用不可
てづな石油　坊方バイパス,ﾃﾂﾞﾅｾｷﾕﾎﾞｳｶﾀﾊﾞｲﾊﾟｽ,小売業,ガソリンスタンド・燃料,石油製品一式,丹生川,506-2121,丹生川町坊方1219-1,78-1566,利用不可
TEPPAN　たなか,ﾃｯﾊﾟﾝﾀﾅｶ,飲食業,専門料理店,飛騨牛ステーキ,高山,506-0818,江名子町2238-1,62-9190,利用可能
手もみ処　健里,ﾃﾓﾐﾄﾞｺﾛｹﾝﾘ,理美容・エステ業（マッサージ業）,マッサージ,てもみ・美顔針,高山,506-0052,下岡本町1217-7,34-5470,利用可能
テラダ学生服,ﾃﾗﾀﾞｶﾞｸｾｲﾌｸ,小売業,衣料品・履物,学校制服・体操服・ランドセル,高山,506-0026,花里町4-52,32-5436,利用可能
㈲寺田商店,ﾃﾗﾀﾞｼｮｳﾃﾝ,小売業,ガソリンスタンド・燃料,ガソリンスタンド,荘川,501-5411,荘川町牧戸85,05769-2-2027,利用不可
寺田接骨院,ﾃﾗﾀﾞｾｯｺﾂｲﾝ,理美容・エステ業（マッサージ業）,整体,雑貨(サポーター),高山,506-0824,片野町6-432-5,34-3956,利用不可
寺田農園　飛騨寺田屋,ﾃﾗﾀﾞﾉｳｴﾝ,小売業,食料品,ﾄﾏﾄ･ﾄﾏﾄｼﾞｭｰｽ,丹生川,506-2123,丹生川町町方1398,78-2639,利用可能
テリクス’タイヤ,ﾃﾘｸｽ'ﾀｲﾔ,自動車販売・修理業,タイヤ,タイヤ･ホイール･オイル,高山,506-0001,冬頭町1450番地20,34-3180,利用可能
電化ショップＳＵＭＩ（スミ）,ﾃﾞﾝｶｼｮｯﾌﾟｽﾐ,小売業,家電,家電販売･修理・電気工事,高山,506-0807,三福寺町45-12,34-3972,利用可能
電化のミチデン,ﾃﾞﾝｶﾉﾐﾁﾃﾞﾝ,小売業,家電,家電販売,高山,506-0823,森下町1-233-3,33-2183,利用不可
電器のあらき,ﾃﾞﾝｷﾉｱﾗｷ,小売業,家電,家電販売・修理,高山,506-0836,島川原町14-8,34-7127,利用可能
でんきのナガオソナール,ﾃﾞﾝｷﾉﾅｶﾞｵｿﾅｰﾙ,小売業,家電,家庭電化製品,高山,506-0004,桐生町3-13,32-0353,利用不可
でんきのひらつか,ﾃﾞﾝｷﾉﾋﾗﾂｶ,小売業,家電,ダビング,高山,506-0025,天満町3-57,34-1379,利用不可
デンキのミゾバタ,ﾃﾞﾝｷﾉﾐｿﾞﾊﾞﾀ,小売業,家電,一般家電,久々野,509-3214,久々野町無数河618-1,52-2504,利用可能
天狗総本店,ﾃﾝｸﾞｿｳﾎﾝﾃﾝ,小売業,食料品,精肉,高山,506-0011,本町1-21,32-0147,利用可能
天狗中央精肉店,ﾃﾝｸﾞﾁｭｳｵｳｾｲﾆｸﾃﾝ,小売業,食料品,食肉販売,高山,506-0008,初田町3-5,32-1470,利用不可
天狗　飛騨牛食処,ﾃﾝｸﾞﾋﾀﾞｷﾞｭｳｼｮｸﾄﾞｺﾛ,飲食業,焼肉店,焼肉,高山,506-0011,本町1-21,32-0147,利用可能
天獅子,ﾃﾝｼﾞｼ,飲食業,酒場,飲食,高山,506-0021,名田町2-74-2　興産商事ビル1階,33-7310,利用不可
典昇,ﾃﾝｼｮｳ,飲食業,酒場,一品料理･造り盛･天ぷら･串焼,高山,506-0055,上岡本町4-39-1  向本ビル１Ｆ,35-0770,利用可能
天ぷら　えび八,ﾃﾝﾌﾟﾗｴﾋﾞﾊﾁ,飲食業,専門料理店,天ぷら　和食,高山,506-0014,相生町41,34-6806,利用可能
天満酒場　久右エ門,ﾃﾝﾏﾝｻｶﾊﾞﾋｻｴﾓﾝ,飲食業,酒場,お酒と和食,高山,506-0025,天満町2-85-13,080-8122-5825,利用不可
東邦家電㈲,ﾄｳﾎｳｶﾃﾞﾝ(ﾕ,小売業,家電,家電品,高山,506-0008,初田町1-48,33-1155,利用可能
㈱トータルサービス,ﾄｰﾀﾙｻｰﾋﾞｽ,小売業,家電,防犯カメラ,高山,506-0818,江名子町570番地17,34-4884,利用不可
トータルボディーケア　ｍａ・ｄｏ,ﾄｰﾀﾙﾎﾞﾃﾞｨｰｹｱﾏ･ﾄﾞ,理美容・エステ業（マッサージ業）,エステ,エステ・整体,高山,506-0059,下林町909-1,090-3959-2918,利用可能
トーヨー事務器㈱,ﾄｰﾖｰｼﾞﾑｷ,小売業,その他小売り,OA機器・スチール家具,高山,506-0054,岡本町2-113-5,32-3164,利用可能
時季の宴　めぐみ家,ﾄｷﾉｳﾀｹﾞﾒｸﾞﾐﾔ,飲食業,日本料理店,鮮魚・野菜・肉類,高山,506-0011,本町2-33,35-5657,利用可能
時計メガネ宝石補聴器の高原,ﾄｹｲﾒｶﾞﾈﾎｳｾｷﾎﾁｮｳｷﾉﾀｶﾊﾗ,小売業,宝飾品・眼鏡,時計・メガネ・宝石･補聴器,高山,506-0026,花里町5-14,32-1484,利用可能
トコトコ,ﾄｺﾄｺ,飲食業,その他飲食店,たこ焼き,高山,506-0035,新宮町3593-2　マイホームふじすえ2号,090-2576-1319,利用可能
趣味の店　とざわ,ﾄｻﾞﾜ,小売業,雑貨,衣料･雑貨,高山,506-0844,上一之町5,32-2968,利用不可
㈲戸沢漆器,ﾄｻﾞﾜｼｯｷ,小売業,その他小売り,漆器･陶器･雑貨,高山,506-0844,上一之町6,32-2966,利用可能
寿天,ﾄｼﾃﾝ,飲食業,専門料理店,天ぷら,高山,506-0014,相生町50,090-3720-1286,利用可能
Dog salon ChouChou,ﾄﾞｯｸﾞｻﾛﾝｼｭｼｭ,生活関連業,ペット関連,動物（犬・猫）シャンプーカット,高山,506-0054,岡本町3-206,070-4475-4561,利用不可
Tocco,ﾄｯｺ,飲食業,その他飲食店,みだらしだんご,高山,506-0853,左京町622-2,090-8337-7974,利用可能
とと家。,ﾄﾄﾔ,飲食業,食堂,海鮮丼、定食,高山,506-0031,西之一色町1133-2,34-7020,利用可能
トピック,ﾄﾋﾟｯｸ,自動車販売・修理業,自動車,自動車販売,高山,506-0031,西之一色3丁目1132-1,32-7373,利用可能
Ｔomy Muesli,ﾄﾐｲﾐｭｰｽﾞﾘｰ,飲食業,喫茶店,カレー、スムージ、くるみトルテ,高山,506-0011,本町4-60 ,080-6975ｰ4013,利用可能
富山建材㈱ リフォームいちば,ﾄﾔﾏｹﾝｻﾞｲﾘﾌｫｰﾑｲﾁﾊﾞ,建設業,住宅建築,リフォーム工事全般,高山,506-0031,西之一色町2-50,32-0440,利用可能
冨山酒店,ﾄﾔﾏｻｹﾃﾝ,小売業,酒屋,酒,高山,506-0058,山田町781-15,33-5361,利用可能
TLACE．,ﾄﾗｰｽ,理美容・エステ業（マッサージ業）,美容室,美容院,高山,506-0055,上岡本町4-469-2,62-9138,利用可能
とらがりくん,ﾄﾗｶﾞﾘｸﾝ,理美容・エステ業（マッサージ業）,理容室,理容,久々野,509-3205,久々野町久々野1782-7,52-2131,利用不可
とらや清香園　上二之町店,ﾄﾗﾔｾｲｺｳｴﾝｶﾐﾆﾉﾏﾁﾃﾝ,小売業,パン・菓子,和菓子,高山,506-0845,上二之町75番地,32-0050,利用不可
とらや清香園　初田店,ﾄﾗﾔｾｲｺｳｴﾝﾊﾂﾀﾃﾝ,小売業,パン・菓子,和菓子,高山,506-0008,初田町2-98,32-0198,利用不可
トラン・ブルー,ﾄﾗﾝ･ﾌﾞﾙｰ,小売業,パン・菓子,パン,高山,506-0031,西之一色町1-73-5,33-3989,利用可能
ToriDori Farm ,ﾄﾘﾄﾞﾘﾌｧｰﾑ,小売業,その他小売り,薔薇の直売,高山,506-0032,千島町1188,090-9714-5506,利用可能
DONGOLOS,ﾄﾞﾝｺﾞﾛｽ,飲食業,喫茶店,喫茶,高山,506-0053,昭和町2-112　1-A,77-9527,利用可能
直井昭楽園,ﾅｵｲｼｮｳﾗｸｴﾝ,小売業,その他小売り,盆栽・山野草・花木,高山,506-0003,本母町381,33-6137,利用不可
なおし屋ラシャ・Ｋ,ﾅｵｼﾔﾗｼｬｹｰ,その他の業種,その他,洋服のお直し,高山,506-0843,下一之町60,32-5886,利用不可
ナガイ㈱,ﾅｶﾞｲ,建設業,資材,生コン・骨材販売,久々野,509-3201,久々野町大西4,52-2328,利用不可
㈱中井自動車,ﾅｶｲｼﾞﾄﾞｳｼｬ,自動車販売・修理業,自動車,自動車販売・整備・鈑金塗装,一之宮,509-3505,一之宮町3443,53-2590,利用不可
ナガイ整備,ﾅｶﾞｲｾｲﾋﾞ,自動車販売・修理業,自動車,自動車整備・販売,久々野,509-3201,久々野町大西15-1,52-2877,利用不可
ナガイ石油,ﾅｶﾞｲｾｷﾕ,小売業,ガソリンスタンド・燃料,燃料,久々野,509-3201,久々野町大西15-1,52-3028,利用不可
中内設備㈱,ﾅｶｳﾁｾﾂﾋﾞ,建設業,設備,給排水給湯設備施工,高山,506-0825,石浦町2-96,77-9418,利用不可
長岡屋,ﾅｶﾞｵｶﾔ,小売業,その他小売り,土産品,高山,506-0011,本町1-45,33-3531,利用可能
中垣内自動車㈲,ﾅｶｶﾞｲﾄｼﾞﾄﾞｳｼｬ(ﾕ,自動車販売・修理業,自動車,自動車販売・修理整備・カー用品,久々野,509-3215,久々野町引下526,52-2626,利用可能
割烹　なかさい,ﾅｶｻｲ,飲食業,日本料理店,おまかせによるコース料理,高山,506-0014,相生町44-2,34-3802,利用可能
中崎山荘　奥飛騨の湯,ﾅｶｻｷｻﾝｿｳｵｸﾋﾀﾞﾉﾕ,ホテル・旅館業等,入浴施設,日帰り入浴施設,奥飛騨温泉郷,506-1421,奥飛騨温泉郷神坂710,0578-89-2021,利用不可
ホームページと印刷　中島印刷,ﾅｶｼﾏｲﾝｻﾂ,その他の業種,その他,印刷物、ＷＥＢ制作,久々野,509-3205,久々野町久々野1522-1,52-2132,利用不可
中島商店,ﾅｶｼﾏｼｮｳﾃﾝ,小売業,雑貨,日用雑貨,荘川,501-5405,荘川町寺河戸478,05769-2-2130,利用不可
奈賀勢,ﾅｶﾞｾ,飲食業,食堂,麺類、丼物,奥飛騨温泉郷,506-1432,奥飛騨温泉郷一重ケ根868-3,0578-89-2505,利用不可
長瀬菓子店,ﾅｶﾞｾｶｼﾃﾝ,小売業,パン・菓子,パン・菓子・酒類,朝日,509-3325,朝日町万石779-1,55-3062,利用不可
ながせ食品,ﾅｶﾞｾｼｮｸﾋﾝ,小売業,食料品,食肉(飛騨牛･豚･とり他),高山,506-0801,上野町1199,33-4383,利用不可
ながせ鍼灸治療院,ﾅｶﾞｾｼﾝｷｭｳﾁﾘｮｳｲﾝ,理美容・エステ業（マッサージ業）,マッサージ,マッサージ・鍼灸治療,朝日,509-3326,朝日町甲968,55-3334,利用不可
㈲長瀬石油,ﾅｶﾞｾｾｷﾕ,小売業,ガソリンスタンド・燃料,燃料、ガス器具、タイヤ他,朝日,509-3303,朝日町浅井607,55-3054,利用可能
㈲永瀬板金工業所,ﾅｶﾞｾﾊﾞﾝｷﾝｺｳｷﾞｮｳｼｮ,建設業,住宅建築,建築板金業(屋根･壁工事),高山,506-0824,片野町6-363-7,34-1558,利用不可
㈱永田硝子,ﾅｶﾞﾀｶﾞﾗｽ,建設業,住宅建築,サッシ・硝子・鏡･カギ・網戸,高山,506-0004,桐生町4ｰ229-1,33-6764,利用可能
中田呉服店,ﾅｶﾀﾞｺﾞﾌｸﾃﾝ,小売業,衣料品・履物,和装小物、和雑貨,高山,506-0011,本町2-78,32-0159,利用可能
中谷呉服店,ﾅｶﾀﾆｺﾞﾌｸﾃﾝ,小売業,衣料品・履物,衣料品,高山,506-0831,吹屋町1,32-1763,利用不可
中谷製粉製麺所,ﾅｶﾀﾆｾｲﾌﾝｾｲﾒﾝｼｮ,小売業,食料品,生麺・乾麺,高山,506-0821,神明町4-2,32-1296,利用不可
中田薬店・高山補聴器センター,ﾅｶﾀﾞﾔｸﾃﾝ･ﾀｶﾔﾏﾎﾁｮｳｷｾﾝﾀｰ,小売業,その他小売り,補聴器・介護用品.･医薬品,高山,506-0011,本町2-12,32-0567,利用可能
中坪果樹園,ﾅｶﾂﾎﾞｶｼﾞｭｴﾝ,小売業,食料品,りんご･りんご山ぶどうジュース,高山,506-0818,江名子町2231,32-3931,利用不可
中坪造園㈲,ﾅｶﾂﾎﾞｿﾞｳｴﾝ,建設業,建設,造園工事,高山,506-0818,江名子町1749-23,33-0361,利用不可
㈲長都建設,ﾅｶﾞﾄｹﾝｾﾂ,建設業,住宅建築,住宅建築,高山,506-0041,下切町1-1,35-0288,利用不可
㈱長沼建築,ﾅｶﾞﾇﾏｹﾝﾁｸ,建設業,住宅建築,大工工事,高山,506-0009,花岡町3-91-5,35-1670,利用不可
中野果樹園,ﾅｶﾉｶｼﾞｭｴﾝ,小売業,食料品,もも・りんご･加工品等,久々野,509-3214,久々野町無数河1729,52-2482,利用不可
㈲中野建築,ﾅｶﾉｹﾝﾁｸ,建設業,住宅建築,住宅建築一式,久々野,509-3213,久々野町渚2488,52-2584,利用不可
中野シオン薬局,ﾅｶﾉｼｵﾝ,小売業,薬局・医薬品,医療品,高山,506-0843,下一之町22,32-0434,利用可能
㈲長畑商店,ﾅｶﾞﾊﾀｼｮｳﾃﾝ,その他の業種,食料品,食堂材料卸・花かつお製造元,高山,506-0052,下岡本町3057,34-6797,利用不可
㈱中林工務店,ﾅｶﾊﾞﾔｼｺｳﾑﾃﾝ,建設業,建設,建築・建設工事,奥飛騨温泉郷,506-1432,奥飛騨温泉郷一重ケ根200-321,0578-89-2737,利用可能
中村クリーニング,ﾅｶﾑﾗｸﾘｰﾆﾝｸﾞ,生活関連業,洗濯業,クリーニング,高山,506-0025,天満町4-2,32-1849,利用不可
㈲ナカムラ電機,ﾅｶﾑﾗﾃﾞﾝｷ,建設業,設備,電気工事,高山,506-0035,新宮町2524-1,33-8049,利用不可
ナカムラ理容所,ﾅｶﾑﾗﾘﾖｳｼｮ,理美容・エステ業（マッサージ業）,理容室,理容全般,高山,506-0004,桐生町2-311,33-4753,利用不可
なかやま整体院,ﾅｶﾔﾏｾｲﾀｲｲﾝ,理美容・エステ業（マッサージ業）,整体,整体　ダイエット,高山,506-0051,中山町581,57-8778,利用可能
㈲中山造園,ﾅｶﾔﾏｿﾞｳｴﾝ,建設業,建設,樹木の剪定・造園工事,高山,506-0053,昭和町2-123-4,33-8987,利用不可
中山中華そば,ﾅｶﾔﾏﾁｭｳｶｿﾊﾞ,飲食業,中華料理店,中華そば・中華料理,高山,506-0052,下岡本町1001-3,33-9910,利用可能
㈲渚工務店,ﾅｷﾞｻｺｳﾑﾃﾝ,建設業,住宅建築,住宅建築,久々野,509-3213,久々野町渚592-3,090‐2573‐5175,利用不可
なぎ　ふぉとぐらふ,ﾅｷﾞﾌｫﾄｸﾞﾗﾌ,生活関連業,写真撮影・スタジオ,出張写真撮影,高山,,,090-7605-7347,利用可能
なごみ美容室,ﾅｺﾞﾐﾋﾞﾖｳｼﾂ,理美容・エステ業（マッサージ業）,美容室,美容室,上宝,506-1317,上宝町本郷2590-1,0578-86-2017,利用不可
Natural eyes,ﾅﾁｭﾗﾙｱｲｽﾞ,理美容・エステ業（マッサージ業）,エステ,マツエク,高山,506-0051,中山町,,利用可能
棗,ﾅﾂﾒ,飲食業,酒場,居酒屋,高山,506-0005,七日町2-229,34-1123,利用不可
七色食堂,ﾅﾅｲﾛｼｮｸﾄﾞｳ,飲食業,食堂,鶏唐定食・飛騨牛定食・ラーメン,高山,506-0009,花岡町1-17　ARCビル　1F,34-5557,利用可能
浪花すし,ﾅﾆﾜｽﾞｼ,飲食業,すし店,すし・一品料理,高山,506-0025,天満町3-73,32-3944,利用可能
㈱なべしま,ﾅﾍﾞｼﾏ,小売業,雑貨,花火・ドリンク･縁日用品･銃砲,高山,506-0045,赤保木町233,34-3200,利用可能
なべしま銘茶,ﾅﾍﾞｼﾏﾒｲﾁｬ,小売業,食料品,お茶・飛騨紅茶・飛騨むぎ茶,高山,506-0843,下一之町12,32-4086,利用可能
㈲滑川新聞店,ﾅﾒﾘｶﾜｼﾝﾌﾞﾝﾃﾝ,小売業,その他小売り,中日新聞,高山,506-0021,名田町3-25,34-0092,利用不可
ナリス化粧品　大宮販売所,ﾅﾘｽｹｼｮｳﾋﾝｵｵﾐﾔﾊﾝﾊﾞｲｼｮ,小売業,その他小売り,ケショウヒン・エステ・健康食品,丹生川,506-2123,丹生川町町方388-4,090-1624-9749,利用可能
ナリス化粧品　船渡（サロンふう和）,ﾅﾘｽｹｼｮｳﾋﾝﾌﾅﾄ(ｻﾛﾝﾌｳﾜ),理美容・エステ業（マッサージ業）,エステ,化粧品・エステ,久々野,509-3214,久々野町無数河394-1,090-8676-7538,利用可能
慣れないラブソング,ﾅﾚﾅｲﾗﾌﾞｿﾝｸﾞ,小売業,パン・菓子,食パン,丹生川,506-2123,丹生川町町方38-1,70-8884,利用可能
二木酒造㈱,ﾆｷｼｭｿﾞｳ,小売業,酒屋,日本酒(玉ノ井･氷室),高山,506-0845,上二之町40,32-0021,利用可能
にくどこ,ﾆｸﾄﾞｺ,飲食業,酒場,飛騨牛焼肉,高山,506-0017,朝日町41-2,62-8833,利用可能
肉の朝日屋,ﾆｸﾉｱｻﾋﾔ,小売業,食料品,牛肉・豚肉・鶏肉・他,高山,506-0012,八軒町1-10,34-9083,利用可能
㈱肉の匠家　問屋町店,ﾆｸﾉﾀｸﾐﾔﾄﾝﾔﾏﾁﾃﾝ,小売業,食料品,飛騨牛,高山,506-0002,問屋町26,36-3251,利用不可
㈱肉の匠家　安川店,ﾆｸﾉﾀｸﾐﾔﾔｽｶﾞﾜﾃﾝ,飲食業,焼肉店,飛騨牛,高山,506-0842,下二之町2,36-2989,利用可能
nico,ﾆｺ,理美容・エステ業（マッサージ業）,美容室,美容サービス,高山,506-0831,吹屋町69-3,070-4374-4893,利用不可
Nicora,ﾆｺﾗ,理美容・エステ業（マッサージ業）,美容室,美容、マツエク,高山,506-0808,松本町2036-7,080-5100-0051,利用不可
にしきや,ﾆｼｷﾔ,小売業,食料品,食料品・野菜・菓子,高山,506-0851,大新町4-175,32-1765,利用可能
西田　司園,ﾆｼﾀﾞﾂｶｻｴﾝ,その他の業種,その他,庭木・植木・果樹苗木・造園,高山,506-0001,冬頭町264,090-5858-4482,利用可能
㈲日栄自動車販売,ﾆﾁｴｲｼﾞﾄﾞｳｼｬﾊﾝﾊﾞｲ,自動車販売・修理業,自動車,自動車販売,高山,506-0808,松本町221-1,35-0151,利用不可
日産プリンス飛騨販売㈱,ﾆｯｻﾝﾌﾟﾘﾝｽ,自動車販売・修理業,自動車,自動車,高山,506-0054,岡本町3-220-2,32-6101,利用不可
日進木工ショールーム,ﾆｯｼﾝﾓｯｺｳｼｮｰﾙｰﾑ,小売業,家具,家具・インテリア雑貨,高山,506-0004,桐生町7-78,33-1123,利用可能
新田自動車㈱,ﾆｯﾀｼﾞﾄﾞｳｼｬ,自動車販売・修理業,自動車,自動車整備,高山,506-0053,昭和町3-138-1,32-3070,利用不可
日本料理　山貴,ﾆﾎﾝﾘｮｳﾘﾔﾏｷ,飲食業,日本料理店,日本料理,高山,506-0838,馬場町1-15,33-8554,利用不可
にゃん　living,ﾆｬﾝﾘﾋﾞﾝｸﾞ,生活関連業,ペット関連,保護猫とのふれ合い,高山,506-0031,西之一色町3-813-6,70-8826,利用可能
㈱丹生川観光,ﾆｭｳｶﾜｶﾝｺｳ,バス・タクシー運行業,バス,運送・旅行サービス・宿泊,高山,506-0817,山口町1005,35-7070,利用可能
にゅうかわカントリークラブ,ﾆｭｳｶﾜｶﾝﾄﾘｰｸﾗﾌﾞ,ホテル・旅館業等,レジャー関連施設,ゴルフ場,丹生川,506-2131,丹生川町大萱乱橋80-1,78-1131,利用不可
丹生川精肉㈱,ﾆｭｳｶﾜｾｲﾆｸ,小売業,食料品,牛肉(飛騨牛),高山,506-0031,西之一色町3-1455-9,33-4728,利用不可
寧珈琲,ﾈｲｺｰﾋｰ,飲食業,喫茶店,コーヒー飲料,高山,506-0851,大新町3-112,54-0659,利用不可
neighbird,ﾈｲﾊﾞｰﾄﾞ,飲食業,その他飲食店,飲食店,高山,506-0025,天満町5-7-6,70-1664,利用可能
nail salon uka,ﾈｲﾙｻﾛﾝｳｶ,その他の業種,その他,ネイル施術,高山,506-0842,下二之町32,080-6587-9677,利用不可
ネイルネイル,ﾈｲﾙﾈｲﾙ,理美容・エステ業（マッサージ業）,美容サロン,ネイルサロン,高山,506-0806,曙町2-13 ,35-0714,利用可能
Nail　me?,ﾈｲﾙﾐｰﾌﾟﾗｽ,理美容・エステ業（マッサージ業）,美容サロン,ネイルサービス,高山,506-0054,岡本町2-402-1,,利用不可
ｎａｉｌ　ｒｏｏｍ．　Ｒｏｎｄ,ﾈｲﾙﾙｰﾑﾛﾝﾄﾞ,理美容・エステ業（マッサージ業）,美容サロン,ネイルサロン,高山,506-0824,片野町6-70,,利用不可
猫の月　さくらやま,ﾈｺﾉﾂｷｻｸﾗﾔﾏ,小売業,その他小売り,化粧品販売,高山,506-0851,大新町1-44-1,77-9977,利用不可
猫の月　さくらやま　猫くら,ﾈｺﾉﾂｷｻｸﾗﾔﾏﾈｺｸﾗ,生活関連業,ペット関連,猫カフェ,高山,506-0851,大新町1丁目44-1,77-9977,利用可能
農業創庫,ﾉｳｷﾞｮｳｿｳｺ,小売業,その他小売り,肥料、農業資材、農薬,高山,506-0802,松之木町313-4,37-6251,利用不可
濃飛バスツアーデスク,ﾉｳﾋﾊﾞｽﾂｱｰﾃﾞｽｸ,バス・タクシー運行業,旅行業,旅行商品,高山,506-0026,花里町6-125,33-0131,利用可能
濃飛バストラベルセンター,ﾉｳﾋﾊﾞｽﾄﾗﾍﾞﾙｾﾝﾀｰ,バス・タクシー運行業,旅行業,旅行商品,高山,506-0053,昭和町1-258,32-3267,利用可能
ノエビア片野中部営業所,ﾉｴﾋﾞｱｶﾀﾉﾁｭｳﾌﾞｴｲｷﾞｮｳｼｮ,小売業,その他小売り,化粧品,高山,506-0824,片野町6-200,090-5105-0378,利用不可
ノエビア化粧品飛騨清見代理店,ﾉｴﾋﾞｱｹｼｮｳﾋﾝﾋﾀﾞｷﾖﾐﾀﾞｲﾘﾃﾝ,小売業,その他小売り,化粧品,清見,506-0101,清見町牧ケ洞3161-1,68-3357,利用不可
ノエビア高山中央代理店,ﾉｴﾋﾞｱﾀｶﾔﾏﾁｭｳｵｳﾀﾞｲﾘﾃﾝ,小売業,その他小売り,化粧品,高山,506-0825,石浦町7-156,32-6782,利用不可
ノエビア飛騨第一販社,ﾉｴﾋﾞｱﾋﾀﾞﾀﾞｲｲﾁﾊﾝｼｬ,小売業,その他小売り,化粧品,高山,506-0046,下之切町249,34-6896,利用不可
ノエル,ﾉｴﾙ,小売業,衣料品・履物,洋品店,高山,506-0011,本町2-80-1,34-3331,利用不可
NOTE,ﾉｰﾄ,理美容・エステ業（マッサージ業）,美容室,ヘアカット・ヘアカラー・パーマ,高山,506-0004,桐生町5-41-2,77-9216,利用不可
ノーネームコーヒー,ﾉｰﾈｰﾑｺｰﾋｰ,飲食業,喫茶店,コーヒー　ハンドメイドスイーツ,高山,506-0015,花川町58サンビル1階,32-2422,利用不可
のがわ,ﾉｶﾞﾜ,飲食業,麺類店,うどん・そば・かき氷,高山,506-0821,神明町4-14,33-7946,利用可能
ｎｏｋｕｔａｒｅ,ﾉｸﾀｰﾚ,小売業,その他小売り,木製品,清見,506-0102,清見町三日町82,68-2104,利用不可
のくび農産,ﾉｸﾋﾞﾉｳｻﾝ,小売業,食料品,餅・漬物・味噌,高山,506-0824,片野町3-261,33-6492,利用不可
ｎｏｃｏ,ﾉｺ,小売業,家具,木製インテリア雑貨,清見,506-0101,清見町牧ケ洞1500,68-1141,利用可能
香舗　能登屋,ﾉﾄﾔ,小売業,雑貨,お香,高山,506-0846,上三之町104,33-0889,利用不可
野中商店,ﾉﾅｶｼｮｳﾃﾝ,小売業,食料品,菓子・日用品,国府,509-4124,国府町村山235-5須田病院　院内売店,0577-72-2310,利用不可
のなか商店,ﾉﾅｶｼｮｳﾃﾝ,小売業,衣料品・履物,衣料・ギフト・寝具・呉服,高山,506-0005,七日町3-98,32-4349,利用可能
野畑茶舗,ﾉﾊﾞﾀﾁｬﾎ,小売業,食料品,銘茶・茶道具,高山,506-0851,大新町1-80,32-0820,利用可能
NOBU,ﾉﾌﾞ,小売業,衣料品・履物,婦人靴・スニーカー・雨靴・修理,高山,506-0026,花里町6-7,32-4678,利用不可
のぼりや　カフェ　三日町,ﾉﾎﾞﾘﾔｶﾌｪﾐｯｶﾏﾁ,小売業,パン・菓子,パン・焼菓子,清見,506-0102,清見町三日町1402,70-8798,利用不可
呑処　彪,ﾉﾐﾄﾞｺﾛｱﾔ,飲食業,酒場,居酒屋,久々野,509-3214,久々野町無数河570-4,52-2933,利用不可
呑屋　縁べゑ,ﾉﾐﾔｴﾝﾍﾞｴ,飲食業,酒場,創作和食,高山,506-0017,朝日町23,36-0049,利用可能
乗鞍缶詰工業㈲,ﾉﾘｸﾗｶﾝﾂﾞﾒｺｳｷﾞｮｳ,その他の業種,その他,缶詰委託加工,国府,509-4119,国府町広瀬町630,72-2170,利用不可
のりくらファミリー眼科,ﾉﾘｸﾗﾌｧﾐﾘｰｶﾞﾝｶ,小売業,その他小売り,コンタクトレンズ・保護眼鏡,高山,506-0851,大新町5-162-1,62-8201,利用可能
ノンクランテ,ﾉﾝｸﾗﾝﾃ,理美容・エステ業（マッサージ業）,美容室,カット・パーマ・カラー,国府,509-4119,国府町広瀬町1409-1,72-5722,利用不可
ぱぁーま　髪切虫,ﾊﾟｧｰﾏｶﾐｷﾘﾑｼ,理美容・エステ業（マッサージ業）,美容室,美容室,高山,506-0824,片野町4-314,34-6663,利用不可
BAR  ZILCH,ﾊﾞｰｼﾞﾙﾁ,飲食業,酒場,酒,高山,506-0011,本町3丁目68-3 本町貸ビル1F,070-2686-3266,利用不可
パーソナルストレッチNiNi,ﾊﾟｰｿﾅﾙｽﾄﾚｯﾁﾆﾆ,生活関連業,ジム,パーソナルトレーニング,高山,506-0035,新宮町1260番地新宮第一ビル1F西側,090-5634-2443,利用不可
はあとねいる高山店,ﾊｱﾄﾈｲﾙﾀｶﾔﾏﾃﾝ,理美容・エステ業（マッサージ業）,美容サロン,ネイルサロン,高山,506-0054,岡本町2-108-3,070-9017-8010,利用不可
バーニーズカフェ,ﾊﾞｰﾆｰｽﾞｶﾌｪ,飲食業,喫茶店,飲食,高山,506-0044,上切町193,090-2770-1752,利用可能
BARBERこいど,ﾊﾞｰﾊﾞｰｺｲﾄﾞ,理美容・エステ業（マッサージ業）,理容室,理容室,高山,506-0832,天性寺町27,32-6629,利用可能
